Название,Текст,Дата,Просмотры,Ссылка
Своих — не облагать: в Поморье хотят отменить туристический налог для местных,"В Архангельской области могут отменить туристический налог для местных жителей, путешествующих по региону. Этот вопрос в ходе встречи обсудили губернатор Поморья Александр Цыбульский и региональный бизнес-омбудсмен Иван Кулявцев.",27.05.25 11:53,4405,/novosti/ekonomika/Svoih_ne_oblagat_v_Pomore_hotjat_otmenit_turisticheskij_nalog_dlja_mestnyh/107905
Покрытие мобильной сети на пути к Белому морю улучшилось,"МегаФон увеличил зону охвата своей сети и ускорил интернет в центре и удаленных районах Архангельска, а также в крупнейших городах региона: Северодвинске, Котласе, Коряжме и Новодвинске.",23.05.25 18:10,4500,/novosti/ekonomika/Pokrytie_mobilnoj_seti_na_puti_k_Belomu_morju_uluchshilos/107882
"Транснефть–Север в 1-м квартале 2025 года сэкономило 0,5 млн. кВт*ч электроэнергии",АО «Транснефть – Север» подвело итоги реализации программы энергосбережения и повышения энергетической эффективности за первый квартал 2025 года.,06.05.25 08:23,5586,/novosti/ekonomika/Transneft_Sever_v_1_m_kvartale_2025_goda_sekonomilo_0_5_mln_kVt_ch_elektroenergii/107739
Т2 запустила премиальную программу лояльности во всех регионах присутствия,"Архангельск – T2, российский оператор мобильной связи, расширил программу привилегий Selection. Ее преимущества стали доступны абонентам во всех 70 регионах присутствия компании.",30.04.25 23:44,6060,/novosti/ekonomika/T2_zapustila_premialnuju_programmu_lojalnosti_vo_vseh_regionah_prisutstvija_/107707
T2 отмечает 30 лет работы в Поморье первым местом по качеству сервиса,T2 возглавила рейтинг «большой четверки» по совокупной оценке качества услуг мобильной связи – к таким выводам пришли эксперты компании DMTEL по итогам масштабного исследования телеком-рынка Архангельской области.,30.04.25 20:00,5275,/novosti/ekonomika/T2_otmechaet_30_let_raboty_v_Pomore_pervym_mestom_po_kachestvu_servisa_/107708
Архангельская область удерживает лидерство по объемам арктической ипотеки,"С декабря 2023 года, когда в регионе стартовала программа «арктической ипотеки», льготным кредитованием воспользовались уже порядка семи тысяч северян, а общий объем жилищных сделок превысил 28 млрд рублей.",26.04.25 15:03,8585,/novosti/ekonomika/Arhangelskaja_oblast_uderzhivaet_liderstvo_po_obemam_arkticheskoj_ipoteki/107659
"Диктант Победы увеличил посещаемость платформы «Ростелеком Лицей» в 3,5 раза","Образовательная платформа «Ростелеком Лицей» помогает гражданам подготовиться к участию в международной акции «Диктант Победы», приуроченной к 80-летию со Дня Победы.",23.04.25 14:10,5794,/novosti/ekonomika/Diktant_Pobedy_uvelichil_poseschaemost_platformy_Rostelekom_Licej_v_3_5_raza/107630
Первую нацпремию «Лучший кадастровый инженер» получил специалист из Архангельска,"На традиционном Всероссийском Жилищном конгрессе, который прошёл в Краснодарском крае, подвели итоги национальной премии «Эксперт рынка недвижимости».",18.04.25 08:00,7407,/novosti/ekonomika/Pervuju_nacpremiju_Luchshij_kadastrovyj_inzhener_poluchil_specialist_iz_Arhangelska/107574
Ростелеком построил базовую станцию в рамках проекта УЦН 2.0 в Холмогорском округе,Первую базовую станцию мобильной связи запустили в эксплуатацию в деревне Погост (Сельцо) Холмогорского округа Архангельской области.,15.04.25 11:50,6323,/novosti/ekonomika/V_Holmogorskom_okruge_postroena_pervaja_bazovaja_stancija_ot_Rostelekom_/107549
Крупные производители и ритейлеры Поморья пообещали держать цены на соцтовары,В Поморье продолжается работа по сдерживанию цен на социально значимые товары. Ранее на подобные меры добровольно согласились хлебопроизводители. Удерживать стоимость продуктов пообещали также устьянские молочники и сеть «Союз».,14.04.25 14:57,6713,/novosti/ekonomika/Krupnye_proizvoditeli_i_ritejlery_Pomorja_poobeschali_derzhat_ceny_na_soctovary/107541
Транснефть – Север провело профориентационную работу со школьниками региона,"Специалисты АО «Транснефть – Север» провели серию профориентационных встреч для старшеклассников в школах Архангельской, Вологодской областей и Республики Коми. В мероприятиях приняли участие более 300 учащихся.",14.04.25 12:22,6292,/novosti/ekonomika/Transneft_Sever_provelo_proforientacionnuju_rabotu_so_shkolnikami_regiona/107539
С начала года в Архангельской области введено более 136 тыс. «квадратов» жилья,"В первом квартале текущего года в Поморье было сдано в эксплуатацию 136,4 тысячи квадратных метров жилой недвижимости. Это треть от годовых планов. Большая часть объёма пришлась на ИЖС.",12.04.25 15:07,6728,/novosti/ekonomika/S_nachala_goda_v_Arhangelskoj_oblasti_vvedeno_bolee_136_tys_kvadratov_zhilja/107526
Известный архангельский ресторатор решил поэкспериментировать с мясной кухней,"К концу года в Архангельске появится еще один ресторан. Заведение будет специализироваться на мясной кухне. Идейный вдохновитель проекта — Григорий Рябов, довольно известная личность в местной индустрии общепита.",10.04.25 18:59,8537,/novosti/ekonomika/Izvestnyj_arhangelskij_restorator_reshil_poeksperimentirovat_s_mjasnoj_kuhnej/107510
Транснефть – Север провело комплексную учебную тренировку в Архангельской области,Мероприятие прошло на нефтеперекачивающей станции (НПС) «Приводино» и подводном переходе магистрального нефтепровода (МН) Ухта – Ярославль через реку Виледь.,10.04.25 18:27,6385,/novosti/ekonomika/Transneft_Sever_provelo_kompleksnuju_uchebnuju_trenirovku_v_Arhangelskoj_oblasti_/107511
Клиенты МегаФона проконтролируют новые подключения с помощью «Госуслуг»,МегаФон внедрил сервис по информированию своих клиентов о новых подключениях к услугам сотового оператора с использованием их персональных данных на портале «Госуслуги».,10.04.25 09:39,6310,/novosti/ekonomika/Klienty_MegaFona_prokontrolirujut_novye_podkljuchenija_s_pomoschju_Gosuslug_/107500
Микрорайон Первых пятилеток в Архангельске прирастает новым бюджетным жильем,"На Сульфате наметился бум жилищного строительства. Под застройку отданы целые кварталы, где вместо старых ветхих домов появятся современные комплексы. Цены на квартиры — относительно бюджетные, что сулит льготную ипотеку.",08.04.25 15:45,7705,/novosti/ekonomika/Mikrorajon_Pervyh_pjatiletok_v_Arhangelske_prirastaet_novym_bjudzhetnym_zhilem/107483
Группа Аквилон развивает собственное производство стройматериалов в Архангельске,"На левом берегу Архангельска успешно работает новое масштабное предприятие, уже ставшее одним из крупнейших в городе: практически невозможное удалось сделать Группе Аквилон.",07.04.25 12:12,8635,/novosti/ekonomika/Gruppa_Akvilon_razvivaet_sobstvennoe_proizvodstvo_strojmaterialov_v_Arhangelske/107473
Архангельская область оказалась в середнячках по уровню зарплат в провинции,Эксперты РИА Рейтинг провели исследование и составили рейтинг регионов России по уровню зарплат в малых и средних населенных пунктах по итогам 2024 года. Поморье оказалось в нем лишь на 40 месте.,01.04.25 12:30,8130,/novosti/ekonomika/Arhangelskaja_oblast_okazalas_v_serednjachkah_po_urovnju_zarplat_v_provincii/107420
Ведущие архангельские и северодвинские хлебопроизводители пообещали держать цены,Два хлебных гиганта в Поморье добровольно согласились сдерживать рост цен на свою продукцию. Соответствующие соглашения были подписаны на днях с «Архангельскхлебом» и «Северодвинским хлебокомбинатом».,30.03.25 19:24,7159,/novosti/ekonomika/Veduschie_arhangelskie_i_severodvinskie_hleboproizvoditeli_poobeschali_derzhat_ceny/107406
